id,App Version Code,App Version Name,Review Text,Review Title,Star Rating
b817b0f0-a2f8-4c9d-a5f6-d3fbf8b1d7e9,,,Very bad wallet balance not use.,,1
c7844e8f-56c1-487b-ae3e-df2fdf4c1767,43,2.3,Froud app i recharge 199 but not done also send mail to niki even not replied,,1
93ff57f7-9e02-4fa9-b779-3db82b8af0a4,52,2.12,Waste to write comments also,Waste no use,2
df2dcdef-c09a-4f35-afab-e1231d3fec9a,62,2.21,Nice apo,,5
11f8f968-4cec-4424-8427-9709ab05b5be,69,2.28,Good nice app,,5
2d55588b-085c-4f55-872b-460520855c93,71,2.30,Ghatiya app. Bill fetch nhi hota ..,,1
87308f01-c741-4887-877f-4d42609761c3,74,2.33,They showed recharge successful but I didn't got,,1
7048da41-474d-4a0a-9e1b-557e281bb2f3,71,2.30,This is good app for recharge and electric bill payment,,5
c73ec8cd-3f03-4f45-8b6f-f19b0fb786bc,78,2.37,Worst app i never had seen before,,1
e2d6f61a-270c-4573-b7d0-229a81324ba9,53,2.13,Good,Liked,4
e6a1aa28-5ca8-4074-ab53-3bd7aad015d6,78,2.37,Superb app,,5
4a3f139b-959c-453d-ac9c-02ccd0371013,81,2.40,I m selecting UPW as a circle but it's only shows Karnataka or Mumbai for circle very bad,,1
ee7c3f15-fa1c-4a9f-bbf3-ef77f662126a,78,2.37,Refer hum Kar Hi Nahi Payenge aapke product ke liye JBL earphone,,1
8d75789d-28e3-4aa4-9701-b050c1e27655,87,2.46,good apps,,4
450d434c-6212-4636-879a-eb04542606d7,69,2.28,Excellent,,5
cbb045b7-ee54-468e-ad27-083e062e950c,76,2.35,excellent,,5
68e30a0f-d19e-4349-9175-40ff10c55896,86,2.45,Super,,5
d067db98-7904-403b-9f8e-4a87cc27401a,88,2.47,aswm,,5
1ee9354a-5167-492d-b3d9-0395c92bcacc,89,2.48,nice app,,5
2a0e7618-d01f-4380-ae6a-779857f92ed4,40,2.0,App is not working properly,,1
15f1e117-e8cd-41c5-8b39-198f6ebf3553,78,2.37,Good aap,,5
d84d6b7f-2347-4656-99b3-8b95a98e2db6,83,2.42,Well I just love it 😊😊 that's all I could say,,5
db6196f4-cdf4-4c70-ae7f-17f039759602,78,2.37,So far I am happy,,3
c70ee2ac-07fa-437e-989c-7ae37ef0e830,90,2.49,"Amazing assistant, makes work easier.",,5
